SCORENAME,QUESTION,SCORECODE,SCORECODETYPE,SCORELABEL,SCOREVALUE
Ethnicity,Ethnicity,1,varchar,Hispanic or Latino,Hispanic or Latino
Ethnicity,Ethnicity,2,varchar,Not Hispanic or Latino,Not Hispanic or Latino
Ethnicity,Ethnicity,3,varchar,Unknown (Individuals not reporting ethnicity),Unknown (Individuals not reporting ethnicity)
Father's Occupation,Father's Occupation,0,varchar,Unemployed,Unemployed
Father's Occupation,Father's Occupation,1,varchar,Professional and Technical,Professional and Technical
Father's Occupation,Father's Occupation,2,varchar,"Business, Finance and Managerial","Business, Finance and Managerial"
Father's Occupation,Father's Occupation,3,varchar,"Clerical, Sales and Service","Clerical, Sales and Service"
Father's Occupation,Father's Occupation,4,varchar,"Agricultural, Fishery, Forestry, and Related","Agricultural, Fishery, Forestry, and Related"
Father's Occupation,Father's Occupation,5,varchar,"Processing, Manufacturing and Utilities","Processing, Manufacturing and Utilities"
Father's Occupation,Father's Occupation,6,varchar,Trades and Equipment Operators,Trades and Equipment Operators
Gender,Gender,F,varchar,Female,Female
Gender,Gender,M,varchar,Male,Male
Handedness,Handedness,L,varchar,Left Handed,Left Handed
Handedness,Handedness,M,varchar,Mix Handed,Mix Handed
Handedness,Handedness,R,varchar,Right Handed,Right Handed
Handedness,Handedness,U,varchar,Unknown,Unknown
Living Arrangement,Living Arrangement,1,varchar,Live alone,Live alone
Living Arrangement,Living Arrangement,2,varchar,Live with family members,Live with family members
Living Arrangement,Living Arrangement,3,varchar,Live with roommates,Live with roommates
Marital Status,Marital Status,1,varchar,Married or living with someone,Married or living with someone
Marital Status,Marital Status,2,varchar,Widowed,Widowed
Marital Status,Marital Status,3,varchar,Divorced or annulled or dissolved,Divorced or annulled or dissolved
Marital Status,Marital Status,4,varchar,Separated,Separated
Marital Status,Marital Status,5,varchar,Never married,Never married
Mother's Occupation,Mother's Occupation,0,varchar,Unemployed,Unemployed
Mother's Occupation,Mother's Occupation,1,varchar,Professional and Technical,Professional and Technical
Mother's Occupation,Mother's Occupation,2,varchar,"Business, Finance and Managerial","Business, Finance and Managerial"
Mother's Occupation,Mother's Occupation,3,varchar,"Clerical, Sales and Service","Clerical, Sales and Service"
Mother's Occupation,Mother's Occupation,4,varchar,"Agricultural, Fishery, Forestry, and Related","Agricultural, Fishery, Forestry, and Related"
Mother's Occupation,Mother's Occupation,5,varchar,"Processing, Manufacturing and Utilities","Processing, Manufacturing and Utilities"
Mother's Occupation,Mother's Occupation,6,varchar,Trades and Equipment Operators,Trades and Equipment Operators
Occupation,Occupation,0,varchar,Unemployed,Unemployed
Occupation,Occupation,1,varchar,Professional and Technical,Professional and Technical
Occupation,Occupation,2,varchar,"Business, Finance and Managerial","Business, Finance and Managerial"
Occupation,Occupation,3,varchar,"Clerical, Sales and Service","Clerical, Sales and Service"
Occupation,Occupation,4,varchar,"Agricultural, Fishery, Forestry, and Related","Agricultural, Fishery, Forestry, and Related"
Occupation,Occupation,5,varchar,"Processing, Manufacturing and Utilities","Processing, Manufacturing and Utilities"
Occupation,Occupation,6,varchar,Trades and Equipment Operators,Trades and Equipment Operators
Race,Race,1,varchar,American Indian/Alaska Native,American Indian/Alaska Native
Race,Race,2,varchar,Asian,Asian
Race,Race,3,varchar,Native Hawaiian or Other Pacific Islander,Native Hawaiian or Other Pacific Islander
Race,Race,4,varchar,Black or African American,Black or African American
Race,Race,5,varchar,White,White
Race,Race,6,varchar,More than one race,More than one race
Race,Race,7,varchar,Unknown or not reported,Unknown or not reported