SCORESEQ,SCORENAME,SCORETYPE,QUESTION
1,Race,varchar,Race
2,Ethnicity,varchar,Ethnicity
3,Education,integer,Education (years)
4,MothersEducation,integer,Mothers Education (years)
5,FathersEducation,integer,Fathers Education (years)
6,Occupation,varchar,Occupation
7,MothersOccupation,varchar,Mothers Occupation
8,FathersOccupation,varchar,Fathers Occupation
9,Age,integer,Age (years)
10,MaritalStatus,varchar,Marital Status
11,LivingArrangement,varchar,Living Arrangement
12,NumberofChildren,integer,Number of Children
13,Gender,varchar,Gender
14,Handedness,varchar,Handedness